Title:,Trace 1,
Model:,N9320B,
Serial Number:,CN03228330,
Center Frequency:,25000000,Hz
Span:,50000000,Hz
Resolution Bandwidth:,300,Hz
Video Bandwidth:,300,Hz
Reference Level:,-10,dBm
Sweep Time:,174.944818,s
Num Points:,461,
 ,,
No.,Frequency,Amplitude
1,0.000000Hz,-5.402084351e+00dBm
2,108695.652174Hz,-7.445124817e+01dBm
3,217391.304348Hz,-7.769268036e+01dBm
4,326086.956522Hz,-6.787535858e+01dBm
5,434782.608696Hz,-8.708319092e+01dBm
6,543478.260870Hz,-8.796081543e+01dBm
7,652173.913043Hz,-7.873766327e+01dBm
8,760869.565217Hz,-8.148709106e+01dBm
9,869565.217391Hz,-7.333517456e+01dBm
10,978260.869565Hz,-1.286689377e+01dBm
11,1086956.521739Hz,-8.187378693e+01dBm
12,1195652.173913Hz,-8.389408112e+01dBm
13,1304347.826087Hz,-7.710586548e+01dBm
14,1413043.478261Hz,-9.032259369e+01dBm
15,1521739.130435Hz,-9.306761932e+01dBm
16,1630434.782609Hz,-6.801153564e+01dBm
17,1739130.434783Hz,-9.667084503e+01dBm
18,1847826.086957Hz,-9.607901001e+01dBm
19,1956521.739130Hz,-3.915399170e+01dBm
20,2065217.391304Hz,-9.737168121e+01dBm
21,2173913.043478Hz,-9.653859711e+01dBm
22,2282608.695652Hz,-6.836754608e+01dBm
23,2391304.347826Hz,-9.763735962e+01dBm
24,2500000.000000Hz,-9.644863892e+01dBm
25,2608695.652174Hz,-7.947572327e+01dBm
26,2717391.304348Hz,-9.166822052e+01dBm
27,2826086.956522Hz,-9.099285889e+01dBm
28,2934782.608696Hz,-2.265067673e+01dBm
29,3043478.260870Hz,-8.652727509e+01dBm
30,3152173.913043Hz,-8.967181396e+01dBm
31,3260869.565217Hz,-7.609691620e+01dBm
32,3369565.217391Hz,-9.686816406e+01dBm
33,3478260.869565Hz,-9.737939453e+01dBm
34,3586956.521739Hz,-6.795814514e+01dBm
35,3695652.173913Hz,-9.663973236e+01dBm
36,3804347.826087Hz,-9.785489655e+01dBm
37,3913043.478261Hz,-3.928568649e+01dBm
38,4021739.130435Hz,-9.848096466e+01dBm
39,4130434.782609Hz,-9.745043182e+01dBm
40,4239130.434783Hz,-6.866312408e+01dBm
41,4347826.086957Hz,-9.815166473e+01dBm
42,4456521.739130Hz,-9.788401031e+01dBm
43,4565217.391304Hz,-7.939822388e+01dBm
44,4673913.043478Hz,-9.633145142e+01dBm
45,4782608.695652Hz,-9.519174194e+01dBm
46,4891304.347826Hz,-2.830532074e+01dBm
47,5000000.000000Hz,-2.742039871e+01dBm
48,5108695.652174Hz,-9.372577667e+01dBm
49,5217391.304348Hz,-9.521377563e+01dBm
50,5326086.956522Hz,-7.463471985e+01dBm
51,5434782.608696Hz,-9.919197845e+01dBm
52,5543478.260870Hz,-9.740515900e+01dBm
53,5652173.913043Hz,-6.821994781e+01dBm
54,5760869.565217Hz,-9.649565887e+01dBm
55,5869565.217391Hz,-9.843504333e+01dBm
56,5978260.869565Hz,-3.950597000e+01dBm
57,6086956.521739Hz,-9.853756714e+01dBm
58,6195652.173913Hz,-9.864674377e+01dBm
59,6304347.826087Hz,-6.919797516e+01dBm
60,6413043.478261Hz,-9.720824432e+01dBm
61,6521739.130435Hz,-9.861902618e+01dBm
62,6630434.782609Hz,-7.811860657e+01dBm
63,6739130.434783Hz,-9.728408813e+01dBm
64,6847826.086957Hz,-9.665049744e+01dBm
