Title:,Trace 1
Model:,N9320B
Serial Number:,CN03228330
Center Frequency:,25000000.000000,Hz
Span:,50000000.000000,Hz
Resolution Bandwidth:,300.000000,Hz
Video Bandwidth:,300.000000,Hz
Reference Level:,-10.000000,dBm
Sweep Time:,174.944818,s
Num Points:,461
 
No.,Frequency,Amplitude
1,0.000000Hz,-5.399497032e+00dBm
2,108695.652174Hz,-7.332276154e+01dBm
3,217391.304348Hz,-7.665914154e+01dBm
4,326086.956522Hz,-6.514989471e+01dBm
5,434782.608696Hz,-8.719895935e+01dBm
6,543478.260870Hz,-8.584511566e+01dBm
7,652173.913043Hz,-8.526174164e+01dBm
8,760869.565217Hz,-7.993019867e+01dBm
9,869565.217391Hz,-7.446319580e+01dBm
10,978260.869565Hz,-1.284657288e+01dBm
11,1086956.521739Hz,-8.181325531e+01dBm
12,1195652.173913Hz,-8.123018646e+01dBm
13,1304347.826087Hz,-9.067028809e+01dBm
14,1413043.478261Hz,-9.275035858e+01dBm
15,1521739.130435Hz,-9.391896057e+01dBm
16,1630434.782609Hz,-6.515464783e+01dBm
17,1739130.434783Hz,-9.768061066e+01dBm
18,1847826.086957Hz,-9.702798462e+01dBm
19,1956521.739130Hz,-7.531486511e+01dBm
20,2065217.391304Hz,-9.826239777e+01dBm
21,2173913.043478Hz,-9.804996490e+01dBm
22,2282608.695652Hz,-6.515963745e+01dBm
23,2391304.347826Hz,-9.870056915e+01dBm
24,2500000.000000Hz,-9.707690430e+01dBm
25,2608695.652174Hz,-9.527078247e+01dBm
26,2717391.304348Hz,-9.169295502e+01dBm
27,2826086.956522Hz,-9.080363464e+01dBm
28,2934782.608696Hz,-2.255067444e+01dBm
29,3043478.260870Hz,-8.957724762e+01dBm
30,3152173.913043Hz,-9.071500397e+01dBm
31,3260869.565217Hz,-9.454707336e+01dBm
32,3369565.217391Hz,-9.747834778e+01dBm
33,3478260.869565Hz,-9.793775177e+01dBm
34,3586956.521739Hz,-6.533532715e+01dBm
35,3695652.173913Hz,-9.771936035e+01dBm
36,3804347.826087Hz,-9.829185486e+01dBm
37,3913043.478261Hz,-8.415119934e+01dBm
38,4021739.130435Hz,-9.758730316e+01dBm
39,4130434.782609Hz,-9.951232910e+01dBm
40,4239130.434783Hz,-6.534144592e+01dBm
41,4347826.086957Hz,-9.887088776e+01dBm
42,4456521.739130Hz,-9.855702972e+01dBm
43,4565217.391304Hz,-9.745247650e+01dBm
44,4673913.043478Hz,-9.612187958e+01dBm
45,4782608.695652Hz,-9.200115204e+01dBm
46,4891304.347826Hz,-2.801977539e+01dBm
